Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags,days_since_review,lat,lng,Reviewer_Score
Vondelstraat 18 30 Oud West 1054 GE Amsterdam Netherlands,248,1/17/2017,8,Hotel Vondel Amsterdam, United Kingdom , The bar prices were quite expensive,7,1952, The location the friendliness of the staff ,9,8,"[' Leisure trip ', ' Group ', ' Souterraine Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",198 day,52.3625662,4.8779225,High_Reviewer_Score
Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,160,9/15/2016,8.1,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel, United States of America , Everything was up to my standard for sure ,10,1560, I liked the fact the hotel was a bit out of the city center because of the busyness Metro bus and hopOnhopOff bus are right in front nearby so no logistical issue for me Beach accessibility 5 min walk so great as well Sunrise from my window and a nice surprise in the bathroom very cute ,58,1,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",322 day,41.4101306,2.2188047,Intermediate_Reviewer_Score
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,10/25/2015,8.4,The Grosvenor, United Kingdom , The staff both on checking in and out were new meaning that it took double the time it should have They weren t even apologetic about it and the experienced members of staff weren t helping them It was painful ,42,3274, The bed was comfy,5,1,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",648 day,51.4956657,-0.1452793,Intermediate_Reviewer_Score
14 Rue de la Sorbonne 5th arr 75005 Paris France,37,5/9/2017,8.3,Hotel Mercure La Sorbonne Saint Germain des Pr s, United States of America , My room was never made up after the first night even though I hung the sign on my door ,21,464, The location was the selling point Nice comfortable rooms too ,12,3,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",86 days,48.8493499,2.3430569,High_Reviewer_Score
Belgrove Street Camden London WC1H 8AB United Kingdom,392,8/15/2015,8.8,Megaro Hotel, United Arab Emirates , Wifi very bad an our room I booked 2 rooms 1 for a couple and one for our adult son our son was given the much larger room ,30,1803, Location,2,8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",719 day,51.5294411,-0.1233745,Intermediate_Reviewer_Score
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,8/11/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom , N a,3,9086, We loved the hotel it was beautiful especially when you walk in straight away staff were great,18,4,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']",357 day,51.5019097,-0.0232208,High_Reviewer_Score
54 Uxbridge Road Shepherds Bush Hammersmith and Fulham London W12 8LP United Kingdom,201,5/22/2017,8.7,W12 Rooms, United Kingdom ,No Negative,0,900, Very convenient for the O2 Empire and Shepherds Bush tube station Very friendly and helpful staff ,18,18,"[' Leisure trip ', ' Couple ', ' Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",73 days,51.5045326,-0.2191174,Intermediate_Reviewer_Score
Wagramer Stra e 21 22 Donaustadt 1220 Vienna Austria,144,3/4/2017,8.4,NH Danube City, Portugal ,No Negative,0,1380, Good breakfast Nice beds Plenty of space in the room ,12,6,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",152 day,48.2353789,16.4219737,High_Reviewer_Score
19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,355,10/4/2016,8,Courthouse Hotel London, United Kingdom , Frugal tea coffee supplies Not a biscuit in sight Will take our own next time Inadequate soap supplied ,20,1786,No Positive,0,1,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ']",303 day,51.5143624,-0.1394483,Intermediate_Reviewer_Score
Via Spallanzani 40 Central Station 20129 Milan Italy,353,3/28/2017,8.1,Starhotels Ritz, Belarus , Check in out parking by the entrance was always full ,12,4248, Welcoming and helpful staff The hotel located 15 min walk to the center and shopping Great breakfast ,19,2,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",128 day,45.4779041,9.2094965,Intermediate_Reviewer_Score
Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,148,10/10/2016,7.8,NH Amsterdam Zuid, Netherlands , The food at the restaurant is overpriced and not very good But very good service ,17,1245, Comfortable suites ,4,1,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",297 day,52.3266672,4.8800884,Intermediate_Reviewer_Score
Via Spallanzani 40 Central Station 20129 Milan Italy,353,11/2/2016,8.1,Starhotels Ritz, Portugal , The rooms are a bit small and some of the rooms don t have a bathtub just a shower The food and plates during breakfast could be replaced quicker ,31,4248, Nice clean warm rooms The breakfast has all the essencials The location is great right next to Corso Buenos Aires good for shopping and next to a metro station ,31,12,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",274 day,45.4779041,9.2094965,High_Reviewer_Score
17 Rue Du Cotentin 15th arr 75015 Paris France,144,5/6/2016,8.1,Novotel Paris Centre Gare Montparnasse, India , we would have prefered if the staff had directed us to the best train station Montparnasse was a very complicated underground for those who are new to Paris and especially with kids and luggage so the first day was very exsausting next day we found through othere guest who stayed there that Pasteur was the ideal station ,59,1363, The croissants were the best I ate in Paris,10,6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 6 nights ']",454 day,48.838484,2.3150904,Intermediate_Reviewer_Score
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,12/6/2016,7.5,The Cumberland A Guoman Hotel, United Kingdom , They found it difficult to cope with the amount of weekend guests checking in and checking out ,19,5180, First room that I was allocated I refused but they did find me a much better one ,19,3,"[' Business trip ', ' Group ', ' Standard Single Room ', ' Stayed 1 night ']",240 day,51.514879,-0.1606501,Intermediate_Reviewer_Score
Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,2/13/2017,8.3,Holiday Inn London Wembley, United Kingdom , My wifi wouldn t work on phone,8,3469, Comfortable bed and pillows,5,1,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",171 day,51.5590955,-0.284704,High_Reviewer_Score
Lancaster Terrace Westminster Borough London W2 2TY United Kingdom,365,9/28/2015,8.3,Lancaster London, United Kingdom , A lengthy check in However hotel apologized profusely and provided complimentary breakfast for the stay which was appreciated A used nappy under the bed from a previous guest ,30,1463, Buffet breakfast is very good All the staff in the hotel were very polite pleasant and helpful The lounge was wonderful to relax in and the Island Grill restaurant was excellent ,33,5,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room with City View ', ' Stayed 1 night ']",675 day,51.5119446,-0.179939,Intermediate_Reviewer_Score
